de,of
que,that
no,No
a,to
la,the
el,he
y,and
es,is
en,in
lo,it
un,a
por,by
qué,that
me,me
una,a
los,the
se,HE
te,tea
con,with
para,for
está,this
mi,my
pero,but
sí,Yeah
si,Yeah
bien,good
eso,that
su,his
las,the
yo,I
del,of the
como,as
aquí,here
tu,you
al,to the
más,further
le,you
esto,this
todo,all
ya,already
estoy,I'm
ahora,now
muy,very
ha,ha
esta,this
así,So
vamos,come on
algo,something
hay,there is
bueno,Well
tengo,I have
él,he
cuando,when
estás,are
sé,HE
tú,you
nos,us
nada,nothing
cómo,as
este,this
o,either
he,I have
ser,be
tiene,has
puedo,I can
ella,she
quiero,wanna
hacer,do
fue,was
gracias,thank you
vez,time
era,was
soy,am
sólo,only
todos,all
porque,because
son,are
tienes,have
creo,believe
voy,go
sabes,You know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,so
hola,hello
solo,only
verdad,TRUE
casa,home
tan,so
quién,who
sus,their
tiempo,time
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,oh
favor,favor
mucho,a lot
mí,my
quieres,want
siento,I feel
señor,Sir
mejor,better
hace,does
has,you have
decir,say
también,also
sobre,about
dios,God
sin,without
tenemos,have
están,are
ti,you
puedes,can
ver,see
hombre,man
vida,life
alguien,someone
cosas,things
siempre,always
hasta,until
ahí,there
ir,go
años,years
antes,before
estar,be
ni,neither
poco,bit
día,day
uno,one
noche,evening
hecho,made
mis,my
estamos,we are
otra,other
acuerdo,agreement
trabajo,job
nosotros,us
parece,seems
gente,people
sea,sea
padre,father
mira,look
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,could
hablar,talk
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,happens
fuera,out
después,after
han,they have
desde,from
dinero,money
mundo,world
claro,clear
momento,moment
les,them
tener,have
estado,state
otro,other
había,there was
mañana,tomorrow
tenía,had
madre,mother
vale,Okay
lugar,place
haciendo,doing
donde,where
seguro,sure
sabe,knows
podemos,can
tus,your
espera,wait
nuevo,new
sido,been
cosa,stuff
hijo,son
allí,over there
menos,less
tipo,guy
amigo,friend
gran,great
nuestro,our
mujer,women
mamá,mother
luego,then
papá,dad
días,days
dice,says
hoy,today
tres,three
buena,good
necesito,need
dije,said
oye,hey
gusta,like
quería,wanted to
será,will be
haber,have
parte,part
todas,all
crees,you believe
buen,good
conmigo,with me
nombre,name
mierda,shit
nuestra,our
mal,evil
debe,has to
realmente,really
estas,are
aún,still
mío,mine
toda,all
hacerlo,do it
cada,each
visto,seen
importa,it matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,know
hizo,did
veces,times
serio,Serious
ven,come
idea,idea
eh,Hey
tarde,late
problema,problem
hora,hour
cierto,TRUE
dicho,saying
quien,who
demasiado,too much
amor,love
entre,between
ve,go
pasado,past
familia,family
estos,these
policía,police
debería,ought
ustedes,you
chica,girl
esos,those
chicos,guys
cuenta,account
haces,you do
todavía,still
salir,go out
algún,some
vaya,Oh
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,knew
cabeza,head
ah,ah
cariño,dear
digo,say
van,they go
hombres,men
buenas,hello good
somos,are
cualquier,any
forma,shape
mientras,while
lado,side
debo,I must
sería,I would be
caso,case
pueden,they can
pasó,passed
primera,first
genial,brilliant
chico,boy
supuesto,supposed
hice,I did
pues,well
adiós,bye
muchas,many
personas,people
señora,lady
volver,return
esas,those
quizá,maybe
contra,against
camino,path
durante,during
hablando,talking
manera,manner
muerto,dead
persona,person
rápido,fast
cuál,which
ayuda,aid
historia,history
iba,was going
supongo,i guess
nueva,new
entiendo,I understand
dentro,inside
casi,almost
puerta,door
ves,you see
pasar,pass
primero,first
significa,means
semana,week
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,year
niños,children
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,not even
feliz,happy
venir,come
hija,daughter
gustaría,I would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,leaves
problemas,issues
vi,I saw
da,gives
importante,important
dijiste,you said
corazón,heart
miedo,fear
jefe,boss
agua,water
haré,I will do
justo,fair
horas,hours
poder,can
buenos,good
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come
nuestros,our
ojos,eyes
adelante,forward
encontrar,find
mano,hand
cinco,five
niño,child
ninguna,none
otros,others
cara,face
cuidado,careful
bajo,low
cerca,near
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,end
tomar,take
único,only
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,spot
cuándo,when
sigue,go on
haya,is
equipo,equipment
grande,big
necesita,needs
llegar,arrive
incluso,even
algunos,some
doctor,doctor
difícil,difficult
aunque,although
hubiera,had
primer,first
coche,car
hago,do
clase,class
cuatro,four
mas,further
dices,you say
pequeño,little
llama,calls
toma,take
hiciste,you did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,equal
loco,crazy
sangre,blood
mujeres,women
vuelta,lap
fui,I went
trabajar,work
tenido,had
juego,game
deberías,you should
cuerpo,body
e,and
algunas,some
entrar,enter
cree,believes
podía,could
debemos,must
oportunidad,chance
teléfono,phone
necesitamos,need
final,end
listo,ready
fiesta,party
muchos,many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,live
posible,possible
ok,ok
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,blame
abajo,below
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,ask
chicas,girls
eran,were
unas,nails
pasando,passing
atrás,back
malo,bad
capitán,captain
sra.,mrs
bebé,baby
segundo,second
sabemos,we know
mayor,elderly
comida,meal
morir,die
conozco,know
dame,give me
fácil,easy
comer,eat
vino,came
lista,list
haga,do
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,treats
buscando,searching
tuve,I had
tampoco,neither
amo,I love
joven,young
podrías,you could
sola,alone
par,pair
única,unique
hacen,do
seguir,continue
dr.,Dr.
simplemente,simply
dicen,they say
medio,half
puta,bitch
saben,they know
sentido,sense
hagas,you do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,high
pequeña,small
dólares,dollars
seis,six
estaban,were
seguridad,security
maldita,damned
estuvo,was
preocupes,don't worry
palabra,word
esperando,expecting
queda,is left over
oficina,office
matar,kill
iré,I will go
cama,bed
además,besides
último,last
oído,ear
habría,there would be
estará,will be
dio,gave
recuerdo,memory
siendo,being
acerca,about
tenga,have
luz,light
correcto,correct
ud.,You.
demonios,demons
nuestras,ours
verte,see you
dormir,sleep
sitio,place
ayudar,help
conseguir,get
di,I said
marido,husband
paz,peace
idiota,idiot
plan,plan
dado,given
cuanto,how much
peor,worse
murió,died
pueblo,town
vivo,alive
venido,come
john,John
basta,Enough
paso,passed
deberíamos,we should
música,music
diga,say
minuto,minute
anoche,last night
llamar,call
piensa,think
país,country
digas,you say
rey,king
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,devils
perdido,lost
niña,little girl
señorita,Miss
diez,ten
lleva,carry
hospital,hospital
grandes,big
maldito,damned
otras,others
llamado,called
hacemos,we do
llevar,carry
fuego,fire
aqui,here
tuvo,had
poner,put
calle,street
acaba,ends
prueba,proof
increíble,incredible
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,hard
empezar,begin
afuera,outside
queremos,we want
perro,dog
cielo,darling
jack,Jack
puesto,position
viaje,journey
detrás,behind
cuarto,room
querida,Dear
haría,would do
preguntas,questions
piensas,you think
querido,darling
libre,free
buscar,look for
cual,which
diré,I will say
suena,sounds
jugar,play
cambio,change
película,movie
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,president
srta.,Ms.
irme,leave
ropa,clothes
perder,lose
vuelve,comes back
agente,agent
palabras,words
información,information
raro,queer
hará,will do
entiendes,you understand
éste,this
trabajando,working
tratando,treating
general,general
trato,deal
usar,wear
perfecto,perfect
derecho,right
modo,mode
ayer,yesterday
conoces,you know
demás,others
quieras,you want
podríamos,we could
noticias,news
asesino,killer
encontrado,found
control,control
odio,hate
frente,forehead
sexo,sex
decirle,tell him
estaré,I will be
divertido,fun
armas,arms
recuerdas,do you remember
amiga,friend
grupo,cluster
asunto,affair
acabo,just
mensaje,message
encima,on
atención,attention
diferente,different
uh,uh
cállate,be quiet
daño,damage
sucede,it happens
cambiar,change
siguiente,following
sino,but
the,the
seas,you are
médico,doctor
boca,mouth
dejó,let
error,mistake
jamás,never
largo,long
pena,grief
voz,voice
futuro,future
siente,feels
secreto,secret
baño,bathroom
mil,thousand
decirte,tell you
sam,Sam
pensaba,thought
novia,bride
propia,own
sueño,dream
haz,beam
fuerza,force
deben,must
supone,supposes
estábamos,we were
ambos,both
ay,Oh
estuve,I have been
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,loves
edad,age
darle,give it
pie,foot
negro,black
ganar,gain
york,York
aire,air
lamento,lament
verlo,see it
asesinato,murder
vio,saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,s
cita,appointment
estaría,would be
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,business
mente,mind
tuyo,yours
campo,field
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,works
foto,photo
abogado,lawyer
loca,crazy
propio,own
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,pay
mató,killed
llamo,called
personal,staff
sientes,you feel
ocurre,occurs
ésta,this
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,you had
viste,you saw
oficial,official
llegó,arrive
compañía,company
relación,relationship
conoce,knows
pase,happens
montón,lot
mejores,best
creí,I believed
cena,dinner
sentir,feel
través,through
accidente,accident
i,Yo
ellas,they
caja,box
tranquilo,don't worry
bonito,pretty
eras,you were
asi,So
pudo,could
vive,lives
vista,view
estúpido,idiot
línea,line
caballeros,gentlemen
haremos,we will do
dan,give
quédate,stay
tienda,store
comprar,buy
entendido,understood
centro,center
salvo,except
mes,month
joe,Joe
sol,sun
tonto,silly
hambre,hunger
michael,Michael
mesa,table
respuesta,answer
completamente,completely
david,David
carta,letter
totalmente,completely
imposible,impossible
pruebas,evidence
novio,boyfriend
normal,normal
gustan,like
frank,Frank
pude,could
charlie,Charlie
traje,suit
dirección,address
siete,seven
dijeron,they said
placer,pleasure
sean,be
tendrá,will have
barco,ship
blanco,white
tom,Tom
profesor,teacher
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,I'd like
hubo,was
george,George
programa,program
carrera,career
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautiful
universidad,university
boda,wedding
decirme,tell me
cualquiera,any
tengas,you have
hacía,toward
estés,you are
sala,hall
llevo,he took
decisión,decision
espere,wait
don,gift
necesario,necessary
sal,salt
entra,enters
prisa,hurry
carajo,damn
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,hear
abuela,grandmother
hicieron,they did
detective,detective
horrible,awful
suelo,floor
fotos,photos
cárcel,jail
acá,here
io,io
mike,Mike
siéntate,sit down
decía,he said
intentando,trying
vámonos,let's go
maldición,curse
silencio,silence
muerta,dead
capaz,able
salió,came out
club,club
terminar,finish
temo,I fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,average
terrible,terrible
llamó,called
regalo,gift
amable,gentle
dulce,sweet
muertos,dead
querías,you wanted
ataque,stroke
das,you give
navidad,Christmas
negocios,business
pudiera,could
ocho,eight
avión,plane
investigación,investigation
acabó,just
juro,I swear
mantener,keep
ejército,army
papel,paper
partes,parts
ten,have
gracioso,funny
diría,I would say
principio,principle
delante,in front of
teniente,lieutenant
deseo,desire
vayas,you go
nave,nave
sale,sale
basura,trash
vine,I came
contacto,contact
esposo,husband
tren,train
encontramos,we found
dale,give it to me
verdadero,TRUE
tuya,yours
alma,soul
hazlo,do it
disculpa,sorry
junto,together
anda,go
tendré,I will have
matrimonio,marriage
saberlo,know it
locura,craziness
oro,gold
permiso,permission
director,director
peligro,danger
libertad,freedom
alegro,I'm glad
baja,low
tendremos,we will have
derecha,right
encuentra,finds
pies,feet
segunda,second
maravilloso,marvelous
espacio,space
rato,a while
abuelo,grandfather
esperaba,I expected
mirando,looking
salud,health
sorpresa,surprise
ninguno,none
miren,look
triste,sad
aun,still
pensado,thought
maestro,teacher
según,according to
infierno,hell
podrían,could
tipos,guys
tía,aunt
crimen,crime
conocido,acquaintance
consejo,advice
ante,in view of
iglesia,church
intento,tried
mayoría,most
doy,give
peter,Peter
hicimos,we did
escena,scene
piso,floor
señal,sign
honor,honor
llamas,flames
abre,opens
cerebro,brain
veras,you see
viendo,seeing
pone,puts
pregunto,asked
cocina,kitchen
vestido,dress
inteligente,intelligent
vieja,old
caballo,horse
vienen,they come
vidas,lives
bar,bar
corte,court
sucedió,happened
adentro,inside
drogas,drugs
enseguida,immediately
busca,seeks
agradable,pleasant
carne,meat
parecía,it seemed
departamento,department
lindo,nice
mar,sea
duda,doubt
edificio,building
conocer,know
cargo,post
víctima,victim
luna,moon
energía,energy
frío,cold
hablo,speak
baile,dance
trabaja,works
misión,mission
listos,ready
ayudarte,help you
izquierda,left
paul,Paul
beber,drink
deje,leave
finalmente,finally
simple,simple
daré,I will give
sabías,did you know
puedas,you can
puso,put
creía,believed
regresar,go back
llega,arrives
entender,understand
mirar,look
sacar,take out
cambiado,changed
trae,brings
hermoso,beautiful
opinión,opinion
verás,you will see
linda,beautiful
apenas,barely
segundos,seconds
cerveza,beer
harás,you will do
estuviera,were
creen,believe
oír,hear
tendría,would have
cuántos,how many
hablado,spoken
hablamos,talk later
reina,queen
temprano,early
tema,issue
prisión,prison
porqué,because
vuelva,come back
público,public
ocurrió,occurred
veré,I'll see
salvar,save
partido,game
bonita,pretty
joder,fuck
causa,cause
caliente,hot
sargento,sergeant
cenar,have dinner
compañero,buddy
llevó,he took
banco,bank
existe,exists
ben,well
zona,area
destino,destination
base,base
solía,used to
cliente,customer
irse,go
perra,bitch
james,James
encuentro,meeting
encontró,found
pelea,fight
san,saint
norte,north
quise,I wanted
coronel,colonel
apuesto,I bet
peligroso,dangerous
viva,Viva
max,max
vienes,you come
necesitan,need
té,tea
excepto,except
juicio,judgment
podamos,we can
llave,key
equivocado,mistaken
posición,position
trasero,rear
irnos,let's go
espalda,back
excelente,excellent
éxito,success
modos,modes
ventana,window
veamos,let's see
especie,species
teníamos,we had
diferencia,difference
formas,forms
pedir,ask
últimos,last
escúchame,listen to me
ejemplo,example
ése,that
radio,radio
lee,read
calma,calm
hogar,home
volveré,I will return
fondo,background
humano,human
henry,Henry
tí,you
iremos,we will go
unidos,joined
habían,had
jesús,Jesus
planeta,planet
verme,see me
respecto,regard
regreso,return
debido,due
seré,I will be
tenían,they had
leer,read
parar,stall
lleno,full
dejé,I left
respeto,I respect
debajo,below
harry,Harry
escribir,write
estación,season
pidió,asked
alta,high
pista,clue
estrella,star
enfermo,sick
duele,hurts
sueños,dreams
veremos,we will see
miles,thousands
darme,give me
órdenes,orders
ocupado,busy
sigues,you follow
corre,runs
podido,been able to
dejes,leave
nivel,level
habéis,you have
experiencia,experience
darte,give you
salida,exit
decirlo,say it
confiar,rely
hacerte,make you
necesitaba,needed
hermanos,siblings
zapatos,shoes
color,color
vistazo,glance
nena,chick
tratar,treat
parecer,seem
juez,judge
próximo,next
paciente,patient
hayas,beeches
bolsa,bag
arte,art
mary,Mary
jugando,playing
llevas,you carry
alegra,cheers
bailar,dance
diablo,devil
oí,I heard
sepa,know
estarás,you will be
sur,south
banda,band
aprender,learn
precio,price
completo,complete
santo,holy
culpable,guilty
ganas,desire
tuvimos,we had
you,you
verla,see her
volvió,returned
libros,books
ojo,eye
serán,will be
cielos,Heavens
matado,killed
azul,blue
diferentes,different
irte,leave
ia,ia
comandante,commander
acción,action
reglas,rules
obra,construction site
esperanza,hope
cuestión,question
molesta,bothers
teniendo,having
bill,bill
informe,report
jimmy,Jimmy
río,river
bienvenido,welcome
abrir,open
tocar,tap
bob,Bob
contar,count
sigo,I continue
interior,inside
apartamento,apartment
vea,see
estados,states
estáis,you are
preocupa,worries
tomó,took
principal,major
empieza,begin
londres,London
empezó,began
vayan,go
jim,Jim
llaman,they call
ojalá,I wish
perdona,sorry
vuelvo,I'm back
golpe,bang
quedarme,stay
llamaré,I will call
acabado,finish
estilo,style
nueve,nine
definitivamente,definitely
quedar,meet
cartas,cards
bomba,bomb
guardia,guard
pistola,gun
probar,prove
majestad,majesty
traer,bring
marcha,march
pareces,you look like
común,common
aquel,that
hacerle,to make him
vuelo,flight
nota,note
danny,Danny
humanos,humans
estaremos,we will be
valor,worth
suyo,his
objetivo,aim
repente,suddenly
debía,I had to
rojo,red
bromeando,joking
irá,gonna
entrada,entrance
doble,double
dejaré,I will leave
evitar,avoid
máquina,machine
cuello,neck
conocí,I met
tiempos,time
tome,take
nick,nick
animales,animals
alex,Alex
acaso,perhaps
tuviera,had
pareja,couple
verano,summer
escuché,listen
ama,loves
serás,you will be
mentira,lie
tarjeta,card
hagan,do
perdí,I lost
correr,run
steve,Steve
traído,brought
llegue,I arrived
preparado,prepared
haberlo,to have it
tony,Tony
usa,uses
intentar,attempt
ayudarme,help me
flores,flowers
dando,giving
vos,you
opción,option
isla,island
cierra,closes
piel,fur
enemigo,enemy
dejo,let
exacto,exact
imbécil,moron
jóvenes,youths
pedido,order
larga,long
entiende,understands
justicia,justice
nuevos,new
obviamente,obviously
despierta,wake up
pido,I ask
calor,heat
luces,lights
refiero,I mean
fuimos,went
batalla,battle
déjalo,leave it
intenta,try
sarah,Sarah
fantástico,fantastic
brazo,arm
absolutamente,absolutely
llena,full
hacerme,make me
salga,get out
recordar,remember
escapar,escape
bosque,forest
gay,gay
señores,sirs
quedan,remain
piernas,legs
visita,visit
parís,Paris
usando,wearing
ganado,cattle
movimiento,motion
blanca,white
rico,rich
inocente,innocent
pesar,weigh
absoluto,absolute
vacaciones,vacation
um,um
mismos,themselves
tomado,taken
habías,you had
planes,plans
cine,cinema
toca,touch
brillante,bright
confianza,trust
vuestra,your
nombres,names
especialmente,especially
fbi,FBI
embarazada,pregnant
esperen,wait
pantalones,pants
defensa,defense
terminó,term
salido,left
estupendo,great
jane,Jane
presión,pressure
inmediatamente,immediately
testigo,witness
deberían,should
olvidado,forgotten
soldados,soldiers
resulta,it turns out
tommy,Tommy
depende,depends
motivo,reason
inglés,English
suya,his
estudio,study
acabar,end
sentimientos,feelings
tomando,taking
dieron,gave
parecen,they seem
llaves,keys
perros,dogs
propósito,purpose
noticia,news
partir,to leave
vuestro,your
metros,meters
santa,saint
quedarse,stay
clientes,customers
podrá,may
cuántas,how many
ridículo,ridiculous
damas,ladies
estuviste,you were
tranquila,peaceful
operación,operation
come,eat
empresa,company
ayúdame,help me
laboratorio,laboratory
elección,choice
menudo,slight
beso,kiss
copa,cup
conversación,conversation
brazos,arms
espíritu,spirit
dejas,you leave
cansado,tired
interesa,interested
refieres,you refer
casado,married
enorme,enormous
asuntos,matters
fe,faith
muestra,sample
trampa,trap
ray,ray
billy,Billy
memoria,memory
johnny,Johnny
contrario,contrary
soldado,soldier
subir,increase
turno,shift
encantaría,I would love to
preocupado,concerned
restaurante,restaurant
saliendo,leaving
escrito,written
cálmate,calm down
bienvenida,welcome
caer,fall
llevaré,I will take
leche,milk
estrellas,stars
prefiero,prefer
red,grid
viejos,old people
solamente,only
oiga,Listen
estén,are
cuentas,accounts
taxi,Taxi
anillo,ring
richard,Richard
preguntar,ask
victoria,victory
quiénes,who
héroe,hero
pequeños,small
decidido,decided
películas,movies
responsable,responsible
trago,drink
volverá,will return
árbol,tree
ibas,you were going
dientes,teeth
encantado,delighted
camión,truck
vender,sell
llame,call
detente,stop
luchar,struggle
cabo,cape
ruido,noise
lucha,struggle
muere,dies
reloj,clock
gato,cat
averiguar,figure out
volar,fly
vayamos,let's go
tanta,so much
vendrá,will come
corriendo,in a hurry
yendo,going
colegio,school
sonido,sound
caballero,gentleman
pasada,pass
código,code
hagamos,let's do
imagen,image
riesgo,risk
llegamos,we arrived
alguno,some
pan,bread
millón,million
malas,bad
dama,lady
hielo,ice
coño,Pussy
cayó,fell
prensa,press
querer,want
vengan,come
eddie,Eddie
caminar,walk
televisión,television
pasará,will pass
momentos,moments
coger,take
posibilidad,possibility
hubiese,would have
mark,mark
asiento,seat
tuviste,you had
herido,wounded
maría,Maria
seguramente,surely
proyecto,project
pared,wall
sentí,I felt
sospechoso,suspicious
naturaleza,nature
ésa,that
silla,chair
perdió,lost
robert,Robert
policías,police officers
arreglar,arrange
sentado,sitting
papi,daddy
ideas,ideas
obtener,obtain
felices,happy
señoría,lordship
cantidad,amount
bebe,baby
mírame,look at me
chris,Chris
papa,dad
llorar,cry
quedó,was left
familiar,familiar
desastre,disaster
locos,crazy
escuche,listen
quedarte,stay
política,policy
pedí,I asked
sois,you are
nosotras,us
will,will
enfermedad,disease
encontraron,they found
colega,colleague
príncipe,prince
verde,green
bajar,lower
nervioso,highly strung
vengo,come
inspector,inspector
sirve,serves
puertas,doors
fuerzas,forces
playa,beach
cantar,sing
déjeme,leave me
velocidad,speed
total,total
cabello,hair
suficientemente,enough
huellas,footprints
haberte,have you
debí,I should have
unidad,unit
estan,are
cuchillo,knife
t,t
oigan,listen
quienes,who
gana,wins
tonterías,foolishness
emergencia,emergency
perfecta,perfect
hable,speak
gustaba,liked
lugares,places
ryan,Ryan
show,show
robo,heist
permite,allows
parque,park
uds.,You.
roto,broken
serie,series
puse,I put
nuevas,new
evidencia,evidence
conocerte,know you
estúpida,stupid
preocupe,worry
perdone,forgive me
botella,bottle
viento,wind
mando,command
extraña,strange
historias,stories
aquella,that
tenéis,you have
solos,alone
apoyo,support
bala,bullet
verdadera,true
tiro,shot
época,time
puente,bridge
olvídalo,forget it
distancia,distance
desea,wishes
dejarlo,leave it
pelear,fight
pierna,leg
echar,throw
descanso,rest
américa,America
área,area
orgulloso,proud
datos,data
espectáculo,show
sube,go up
dejaste,you left
acabas,you finish
verá,you will see
magia,magic
nacional,national
universo,universe
llevaba,was wearing
necesitar,need
nariz,nose
aquellos,those
clases,classes
jake,Jake
casas,houses
vergüenza,shame
estarán,will be
monstruo,monster
princesa,princess
autobús,bus
cuidar,care
ei,ei
huevos,eggs
pocos,few
podrás,you will be able to
enferma,sick
paseo,walk
detalles,details
llamadas,calls
belleza,beauty
francia,France
abierto,open
viviendo,living
envió,shipment
puntos,points
ministro,minister
conducir,drive
aceptar,accept
borracho,drunk
animal,animal
caballos,horses
trajo,brought
contrato,contract
viernes,Friday
bobby,Bobby
martin,martin
amy,Amy
bienvenidos,welcome
ex,ex
hechos,facts
sociedad,society
dra.,Dr.
tengan,have
quede,I stayed
inglaterra,England
carga,burden
diste,you gave
puto,fucking
lleve,take
presente,present
conocía,knew
uso,use
dedos,fingers
oferta,offer
sentía,felt
proteger,protect
daniel,Daniel
date,date
hiciera,did
hablé,I spoke
recibir,receive
agradezco,I am grateful
robar,steal
enamorado,in love
sepas,you know
oeste,west
herida,wound
despacio,slowly
ayude,help
supe,I knew
directamente,directly
inmediato,immediate
profesional,professional
oscuro,dark
mercado,market
cerdo,pig
tardes,afternoon
líder,leader
grave,serious
llegué,I arrived
jurado,jury
casos,cases
acuerdas,do you remember
ahi,there
desaparecido,missing
debió,should have
hubieras,you would have
últimamente,lately
piedra,stone
éramos,we were
habló,speak
charles,Charles
paga,pay
secretos,secrets
digamos,let's say
intención,intention
humor,humor
dura,hard
dará,will give
seguros,insurance
leo,I read
adam,Adam
and,and
ángeles,angels
querría,I would like
cerrar,close
conseguido,achieved
peso,weight
víctimas,victims
asesinado,murdered
humana,human
directo,straight
central,central
termina,ends
compañeros,companions
escuchado,heard
contento,glad
llevan,they carry
podré,I will be able to
oscuridad,darkness
actuar,act
siga,follow
llevado,taken
comenzó,began
regresa,returns
privado,private
mirada,look
demonio,devil
abierta,open
kevin,Kevin
m,m
llámame,call me
siguen,continue
romper,break
cambia,changes
fiscal,fiscal
jardín,garden
natural,natural
gratis,free
cuesta,costs
amenaza,threat
pon,put
marca,brand
comenzar,begin
ponte,put on
medicina,medicine
podremos,we will be able to
tomé,I took
preciosa,lovely
sexual,sexual
acceso,access
necesidad,need
dueño,owner
merece,deserves
rayos,good heavens
d,d
mintiendo,lying
tantas,so many
imagino,I imagine
fantasma,ghost
creerlo,believe it
llamé,I called
ponga,put
brian,Brian
dé,of
pollo,chicken
varios,several
efecto,effect
felicidad,happiness
espada,sword
relaciones,relations
entró,entered
resultado,result
sombrero,hat
menor,minor
recibido,received
negra,black
to,to
habido,there have been
limpio,clean
china,China
juegos,games
correo,mail
confía,trust
video,video
perfectamente,perfectly
harán,will do
teatro,theater
dormido,asleep
local,local
quedado,left
lástima,pity
calles,streets
créeme,believe me
responsabilidad,responsibility
búsqueda,search
dedo,finger
tonta,silly
recuerdos,memories
razones,reasons
escuchando,listening
eric,Eric
elegir,choose
amas,you love
huele,it smells
almuerzo,lunch
cien,hundred
adn,DNA
tantos,so many
pago,pay
normalmente,normally
mr,Mr.
pastel,cake
bastardo,bastard
cinta,tape
pasé,happens
dígame,tell me
anna,Anna
costa,coast
levántate,Get up
llamando,calling
cerrado,closed
interés,interest
enfermera,nurse
comienzo,beginning
olvidé,forget
fuese,was
militar,military
polvo,dust
bella,pretty
quedo,I remain
kate,Kate
encontraste,you found
voluntad,willpower
varias,several
teoría,theory
roja,red
cuento,tale
escenario,scenery
diario,diary
propiedad,property
agujero,hole
aspecto,aspect
campamento,camp
descansar,rest
matarme,kill me
metido,stuck
quiso,wanted
ángel,angel
enviar,send
impresionante,awesome
proceso,process
intentado,tried
mio,mine
fuente,fountain
alcalde,mayor
ocurrido,occurred
malos,bad
carretera,road
desapareció,disappeared
desayuno,breakfast
débil,weak
roma,Rome
sabido,known
comienza,starts
tambien,also
intentarlo,try it
miembro,member
perdiendo,losing
hayan,have
fueras,you were
resultados,results
jerry,Jerry
mata,kills
sr,Mr
valiente,brave
deber,duty
pecho,chest
gustó,taste
oyes,you hear
thomas,Thomas
periódico,newspaper
mami,Mommy
piensan,they think
washington,Washington
tv,TV
cansada,tired
limpiar,clean
crear,create
explicar,explain
robado,stolen
resolver,solve
maté,mate
guapo,handsome
continuar,continue
sheriff,sheriff
funcionar,work
extra,extra
primo,cousin
manejar,drive
primeros,first
acto,act
poniendo,putting
números,numbers
kilómetros,kilometers
andy,Andy
llevará,will take
cura,healing